country,date,feature,value
AF,2022-02-23,ActiveSubscription,1
AF,2022-02-24,ActiveSubscription,1
AF,2022-02-25,ActiveSubscription,1
AF,2022-02-26,ActiveSubscription,1
AF,2022-02-27,ActiveSubscription,1
AF,2022-02-28,ActiveSubscription,1
AF,2022-03-01,ActiveSubscription,1
AF,2022-03-02,ActiveSubscription,1
AF,2022-03-03,ActiveSubscription,1
AF,2022-03-04,ActiveSubscription,1
AF,2022-03-05,ActiveSubscription,1
AF,2022-03-06,ActiveSubscription,1
AF,2022-03-07,ActiveSubscription,1
AF,2022-03-08,ActiveSubscription,1
AF,2022-03-09,ActiveSubscription,1
AF,2022-03-10,ActiveSubscription,1
AF,2022-03-11,ActiveSubscription,1
AF,2022-03-12,ActiveSubscription,1
AF,2022-03-13,ActiveSubscription,1
AF,2022-03-14,ActiveSubscription,1
AF,2022-03-15,ActiveSubscription,1
AF,2022-03-16,ActiveSubscription,1
AF,2022-03-17,ActiveSubscription,1
AF,2022-03-18,ActiveSubscription,1
AF,2022-03-19,ActiveSubscription,1
AF,2022-03-20,ActiveSubscription,1
AF,2022-03-21,ActiveSubscription,1
AF,2022-03-22,ActiveSubscription,1
AF,2022-03-23,ActiveSubscription,1
AF,2022-03-24,ActiveSubscription,1
AF,2022-03-25,ActiveSubscription,1
AF,2022-03-26,ActiveSubscription,1
AF,2022-03-27,ActiveSubscription,1
AF,2022-03-28,ActiveSubscription,1
AF,2022-03-29,ActiveSubscription,1
AF,2022-03-30,ActiveSubscription,1
AF,2022-03-31,ActiveSubscription,1
AF,2022-04-01,ActiveSubscription,1
AF,2022-04-02,ActiveSubscription,1
AF,2022-04-03,ActiveSubscription,1
AF,2022-04-04,ActiveSubscription,1
AF,2022-04-05,ActiveSubscription,1
AF,2022-04-06,ActiveSubscription,1
AF,2022-04-07,ActiveSubscription,1
AF,2022-04-08,ActiveSubscription,1
AF,2022-04-09,ActiveSubscription,1
AF,2022-04-10,ActiveSubscription,1
AF,2022-04-11,ActiveSubscription,1
AF,2022-04-12,ActiveSubscription,1
AF,2022-04-13,ActiveSubscription,1
AF,2022-04-14,ActiveSubscription,1
AF,2022-04-15,ActiveSubscription,1
AF,2022-04-16,ActiveSubscription,1
AF,2022-04-17,ActiveSubscription,1
AF,2022-04-18,ActiveSubscription,1
AF,2022-04-19,ActiveSubscription,1
AF,2022-04-20,ActiveSubscription,1
AF,2022-04-21,ActiveSubscription,1
AF,2022-04-22,ActiveSubscription,1
AF,2022-04-23,ActiveSubscription,1
AF,2022-04-24,ActiveSubscription,1
AF,2022-04-25,ActiveSubscription,1
AF,2022-04-26,ActiveSubscription,1
AF,2022-04-27,ActiveSubscription,1
AF,2022-04-28,ActiveSubscription,1
AF,2022-04-29,ActiveSubscription,1
AF,2022-04-30,ActiveSubscription,1
AF,2022-05-01,ActiveSubscription,1
AF,2022-05-02,ActiveSubscription,1
AF,2022-05-03,ActiveSubscription,1
AF,2022-05-04,ActiveSubscription,1
AF,2022-05-05,ActiveSubscription,1
AF,2022-05-06,ActiveSubscription,1
AF,2022-05-07,ActiveSubscription,1
AF,2022-05-08,ActiveSubscription,1
AF,2022-05-09,ActiveSubscription,1
AF,2022-05-10,ActiveSubscription,1
AF,2022-05-11,ActiveSubscription,1
AF,2022-05-12,ActiveSubscription,1
AF,2022-05-13,ActiveSubscription,1
AF,2022-05-14,ActiveSubscription,1
AF,2022-05-15,ActiveSubscription,1
AF,2022-05-16,ActiveSubscription,1
AF,2022-05-17,ActiveSubscription,1
AF,2022-05-18,ActiveSubscription,1
AF,2022-05-19,ActiveSubscription,1
AF,2022-05-20,ActiveSubscription,1
AL,2022-01-01,ActiveSubscription,2
